(-0.10000000000000001, -0.047368421052631587, -0.036842105263157898)	[-0.07696794 -0.0364585   0.92130762]
(-0.10000000000000001, -0.047368421052631587, -0.026315789473684223)	[-0.05559985 -0.02633677  0.90864555]
(-0.10000000000000001, -0.047368421052631587, -0.015789473684210534)	[-0.0346185  -0.01639824  0.90003897]
(-0.10000000000000001, -0.047368421052631587, -0.0052631578947368446)	[-0.01387955 -0.00657452  0.8954172 ]
(-0.10000000000000001, -0.047368421052631587, 0.0052631578947368307)	[ 0.00676139  0.00320276  0.89474232]
(-0.10000000000000001, -0.047368421052631587, 0.01578947368421052)	[ 0.02744864  0.01300199  0.89800877]
(-0.10000000000000001, -0.047368421052631587, 0.026315789473684209)	[ 0.04832646  0.02289148  0.90524327]
(-0.10000000000000001, -0.047368421052631587, 0.036842105263157898)	[ 0.06953902  0.03293954  0.91650514]
(-0.10000000000000001, -0.047368421052631587, 0.04736842105263156)	[ 0.09123017  0.04321429  0.93188691]
(-0.10000000000000001, -0.047368421052631587, 0.057894736842105249)	[ 0.11354307  0.05378356  0.95151533]
(-0.10000000000000001, -0.047368421052631587, 0.068421052631578938)	[ 0.13661933  0.06471442  0.97555279]
(-0.10000000000000001, -0.047368421052631587, 0.078947368421052627)	[ 0.1605978   0.07607264  1.00419891]
(-0.10000000000000001, -0.047368421052631587, 0.089473684210526316)	[ 0.18561246  0.08792169  1.03769264]
(-0.10000000000000001, -0.047368421052631587, 0.10000000000000001)	[ 0.21178956  0.10032137  1.0763144 ]
(-0.10000000000000001, -0.036842105263157898, -0.10000000000000001)	[-0.22239578 -0.08193529  1.10230457]
(-0.10000000000000001, -0.036842105263157898, -0.089473684210526316)	[-0.19568601 -0.07209484  1.06131817]
(-0.10000000000000001, -0.036842105263157898, -0.078947368421052641)	[-0.170165   -0.06269237  1.02561608]
(-0.10000000000000001, -0.036842105263157898, -0.068421052631578952)	[-0.14571479 -0.0536844   0.99490748]
(-0.10000000000000001, -0.036842105263157898, -0.05789473684210527)	[-0.12220716 -0.04502369  0.96894228]
(-0.10000000000000001, -0.036842105263157898, -0.047368421052631587)	[-0.09950724 -0.03666056  0.94750934]
(-0.10000000000000001, -0.036842105263157898, -0.036842105263157898)	[-0.07747604 -0.0285438   0.93043469]
(-0.10000000000000001, -0.036842105263157898, -0.026315789473684223)	[-0.05597213 -0.02062131  0.91757999]
(-0.10000000000000001, -0.036842105263157898, -0.015789473684210534)	[-0.03485281 -0.01284051  0.90884129]
(-0.10000000000000001, -0.036842105263157898, -0.0052631578947368446)	[-0.01397471 -0.00514858  0.90414801]
(-0.10000000000000001, -0.036842105263157898, 0.0052631578947368307)	[ 0.00680576  0.00250739  0.90346225]
(-0.10000000000000001, -0.036842105263157898, 0.01578947368421052)	[ 0.02763225  0.0101803   0.90677845]
(-0.10000000000000001, -0.036842105263157898, 0.026315789473684209)	[ 0.04864829  0.01792305  0.91412326]
(-0.10000000000000001, -0.036842105263157898, 0.036842105263157898)	[ 0.06999712  0.02578841  0.92555587]
(-0.10000000000000001, -0.036842105263157898, 0.04736842105263156)	[ 0.09182138  0.03382893  0.94116855]
(-0.10000000000000001, -0.036842105263157898, 0.057894736842105249)	[ 0.11426254  0.04209673  0.9610875 ]
(-0.10000000000000001, -0.036842105263157898, 0.068421052631578938)	[ 0.13745991  0.05064312  0.98547407]
(-0.10000000000000001, -0.036842105263157898, 0.078947368421052627)	[ 0.16154912  0.0595181   1.01452615]
(-0.10000000000000001, -0.036842105263157898, 0.089473684210526316)	[ 0.18665991  0.06876944  1.04847984]
(-0.10000000000000001, -0.036842105263157898, 0.10000000000000001)	[ 0.21291286  0.07844158  1.08761119]
(-0.10000000000000001, -0.026315789473684223, -0.10000000000000001)	[-0.22324668 -0.05874913  1.11094428]
(-0.10000000000000001, -0.026315789473684223, -0.089473684210526316)	[-0.19648867 -0.05170754  1.06956848]
(-0.10000000000000001, -0.026315789473684223, -0.078947368421052641)	[-0.17090196 -0.0449742   1.0335113 ]
(-0.10000000000000001, -0.026315789473684223, -0.068421052631578952)	[-0.14637334 -0.0385193   1.00248604]
(-0.10000000000000001, -0.026315789473684223, -0.05789473684210527)	[-0.12277821 -0.03231005  0.9762454 ]
(-0.10000000000000001, -0.026315789473684223, -0.047368421052631587)	[-0.09998441 -0.02631169  0.95458   ]
(-0.10000000000000001, -0.026315789473684223, -0.036842105263157898)	[-0.07785498 -0.02048815  0.93731696]
(-0.10000000000000001, -0.026315789473684223, -0.026315789473684223)	[-0.05624998 -0.01480263  0.92431858]
(-0.10000000000000001, -0.026315789473684223, -0.015789473684210534)	[-0.03502777 -0.00921784  0.91548126]
(-0.10000000000000001, -0.026315789473684223, -0.0052631578947368446)	[-0.01404581 -0.00369627  0.91073457]
(-0.10000000000000001, -0.026315789473684223, 0.0052631578947368307)	[ 0.00683886  0.0017997   0.91004067]
(-0.10000000000000001, -0.026315789473684223, 0.01578947368421052)	[ 0.02776931  0.00730771  0.91339399]
(-0.10000000000000001, -0.026315789473684223, 0.026315789473684209)	[ 0.04888844  0.01286538  0.92082111]
(-0.10000000000000001, -0.026315789473684223, 0.036842105263157898)	[ 0.07033877  0.0185102   0.93238106]
(-0.10000000000000001, -0.026315789473684223, 0.04736842105263156)	[ 0.09226194  0.02427946  0.9481658 ]
(-0.10000000000000001, -0.026315789473684223, 0.057894736842105249)	[ 0.11479806  0.03021002  0.96830096]
(-0.10000000000000001, -0.026315789473684223, 0.068421052631578938)	[ 0.13808461  0.03633806  0.99294691]
(-0.10000000000000001, -0.026315789473684223, 0.078947368421052627)	[ 0.16225475  0.04269862  1.02229997]
(-0.10000000000000001, -0.026315789473684223, 0.089473684210526316)	[ 0.18743489  0.04932497  1.05659375]
(-0.10000000000000001, -0.026315789473684223, 0.10000000000000001)	[ 0.21374123  0.05624769  1.09610062]
(-0.10000000000000001, -0.015789473684210534, -0.10000000000000001)	[-0.22380649 -0.03533787  1.11671044]
(-0.10000000000000001, -0.015789473684210534, -0.089473684210526316)	[-0.19701813 -0.03110813  1.07507864]
(-0.10000000000000001, -0.015789473684210534, -0.078947368421052641)	[-0.17138907 -0.02706143  1.03878738]
(-0.10000000000000001, -0.015789473684210534, -0.068421052631578952)	[-0.14680929 -0.02318041  1.00755294]
(-0.10000000000000001, -0.015789473684210534, -0.05789473684210527)	[-0.12315669 -0.01944579  0.98113003]
(-0.10000000000000001, -0.015789473684210534, -0.047368421052631587)	[-0.10030097 -0.01583699  0.9593106 ]
(-0.10000000000000001, -0.015789473684210534, -0.036842105263157898)	[-0.07810655 -0.01233261  0.9419226 ]
(-0.10000000000000001, -0.015789473684210534, -0.026315789473684223)	[-0.05643453 -0.00891072  0.92882886]
(-0.10000000000000001, -0.015789473684210534, -0.015789473684210534)	[-0.03514403 -0.00554906  0.91992603]
(-0.10000000000000001, -0.015789473684210534, -0.0052631578947368446)	[-0.01409308 -0.00222522  0.91514385]
(-0.10000000000000001, -0.015789473684210534, 0.0052631578947368307)	[ 0.00686084  0.00108329  0.91444454]
(-0.10000000000000001, -0.015789473684210534, 0.01578947368421052)	[ 0.02786035  0.004399    0.9178225 ]
(-0.10000000000000001, -0.015789473684210534, 0.026315789473684209)	[ 0.04904794  0.00774441  0.92530428]
(-0.10000000000000001, -0.015789473684210534, 0.036842105263157898)	[ 0.07056558  0.01114193  0.93694875]
(-0.10000000000000001, -0.015789473684210534, 0.04736842105263156)	[ 0.09255422  0.01461382  0.95284762]
(-0.10000000000000001, -0.015789473684210534, 0.057894736842105249)	[ 0.11515305  0.01818206  0.97312606]
(-0.10000000000000001, -0.015789473684210534, 0.068421052631578938)	[ 0.13849827  0.02186815  0.9979437 ]
(-0.10000000000000001, -0.015789473684210534, 0.078947368421052627)	[ 0.16272132  0.02569284  1.02749566]
(-0.10000000000000001, -0.015789473684210534, 0.089473684210526316)	[ 0.18794635  0.02967574  1.06201375]
(-0.10000000000000001, -0.015789473684210534, 0.10000000000000001)	[ 0.21428661  0.03383473  1.10176766]
(-0.10000000000000001, -0.0052631578947368446, -0.10000000000000001)	[-0.22408413 -0.0117939   1.11959529]
(-0.10000000000000001, -0.0052631578947368446, -0.089473684210526316)	[-0.19728114 -0.01038322  1.0778366 ]
(-0.10000000000000001, -0.0052631578947368446, -0.078947368421052641)	[-0.17163133 -0.00903323  1.04142912]
(-0.10000000000000001, -0.0052631578947368446, -0.068421052631578952)	[-0.14702632 -0.00773823  1.01009069]
(-0.10000000000000001, -0.0052631578947368446, -0.05789473684210527)	[-0.12334524 -0.00649185  0.98357706]
(-0.10000000000000001, -0.0052631578947368446, -0.047368421052631587)	[-0.10045876 -0.0052873   0.96168091]
(-0.10000000000000001, -0.0052631578947368446, -0.036842105263157898)	[-0.07823201 -0.00411747  0.94423064]
(-0.10000000000000001, -0.0052631578947368446, -0.026315789473684223)	[-0.0565266  -0.00297508  0.93108934]
(-0.10000000000000001, -0.0052631578947368446, -0.015789473684210534)	[-0.03520204 -0.00185274  0.92215383]
(-0.10000000000000001, -0.0052631578947368446, -0.0052631578947368446)	[ -1.41166649e-02  -7.42982361e-04   9.17353946e-01]
(-0.10000000000000001, -0.0052631578947368446, 0.0052631578947368307)	[  6.87179679e-03   3.61673516e-04   9.16651927e-01]
(-0.10000000000000001, -0.0052631578947368446, 0.01578947368421052)	[ 0.02790577  0.00146872  0.92004218]
(-0.10000000000000001, -0.0052631578947368446, 0.026315789473684209)	[ 0.0491275   0.00258566  0.92755122]
(-0.10000000000000001, -0.0052631578947368446, 0.036842105263157898)	[ 0.07067868  0.00371993  0.93923784]
(-0.10000000000000001, -0.0052631578947368446, 0.04736842105263156)	[ 0.09269993  0.00487894  0.95519359]
(-0.10000000000000001, -0.0052631578947368446, 0.057894736842105249)	[ 0.11532993  0.00607     0.9755434 ]
(-0.10000000000000001, -0.0052631578947368446, 0.068421052631578938)	[ 0.13870424  0.00730022  1.0004465 ]
(-0.10000000000000001, -0.0052631578947368446, 0.078947368421052627)	[ 0.16295343  0.0085765   1.03009737]
(-0.10000000000000001, -0.0052631578947368446, 0.089473684210526316)	[ 0.18820051  0.00990529  1.06472688]
(-0.10000000000000001, -0.0052631578947368446, 0.10000000000000001)	[ 0.2145572   0.01129248  1.10460329]
(-0.10000000000000001, 0.0052631578947368307, -0.10000000000000001)	[-0.22408413  0.0117939   1.11959529]
(-0.10000000000000001, 0.0052631578947368307, -0.089473684210526316)	[-0.19728114  0.01038322  1.0778366 ]
(-0.10000000000000001, 0.0052631578947368307, -0.078947368421052641)	[-0.17163133  0.00903323  1.04142912]
(-0.10000000000000001, 0.0052631578947368307, -0.068421052631578952)	[-0.14702632  0.00773823  1.01009069]
(-0.10000000000000001, 0.0052631578947368307, -0.05789473684210527)	[-0.12334524  0.00649185  0.98357706]
(-0.10000000000000001, 0.0052631578947368307, -0.047368421052631587)	[-0.10045876  0.0052873   0.96168091]
(-0.10000000000000001, 0.0052631578947368307, -0.036842105263157898)	[-0.07823201  0.00411747  0.94423064]
(-0.10000000000000001, 0.0052631578947368307, -0.026315789473684223)	[-0.0565266   0.00297508  0.93108934]
(-0.10000000000000001, 0.0052631578947368307, -0.015789473684210534)	[-0.03520204  0.00185274  0.92215383]
(-0.10000000000000001, 0.0052631578947368307, -0.0052631578947368446)	[ -1.41166649e-02   7.42982361e-04   9.17353946e-01]
(-0.10000000000000001, 0.0052631578947368307, 0.0052631578947368307)	[  6.87179679e-03  -3.61673516e-04   9.16651927e-01]
(-0.10000000000000001, 0.0052631578947368307, 0.01578947368421052)	[ 0.02790577 -0.00146872  0.92004218]
(-0.10000000000000001, 0.0052631578947368307, 0.026315789473684209)	[ 0.0491275  -0.00258566  0.92755122]
(-0.10000000000000001, 0.0052631578947368307, 0.036842105263157898)	[ 0.07067868 -0.00371993  0.93923784]
